Total: 2007
Intra-sentential relations: 722
Inter-sentential relations: 1285
	Distance	Number	Percentage
	0   	   722	   35.9741
	1   	   953	   47.4838
	2   	   149	   7.4240
	3   	   51	   2.5411
	4   	   37	   1.8435
	5   	   24	   1.1958
	6   	   17	   0.8470
	7   	   11	   0.5481
	8   	   13	   0.6477
	9   	   1	   0.0498
	10   	   7	   0.3488
	11   	   6	   0.2990
	13   	   4	   0.1993
	14   	   1	   0.0498
	15   	   5	   0.2491
	18   	   1	   0.0498
	19   	   1	   0.0498
	20   	   2	   0.0997
	21   	   2	   0.0997
------------------------------------------------------	0   	   722	   35.9741
	1   	   953	   47.4838
	2-5   	   261	   13.0045
	>5   	   71	   3.5376
