	Id	Counts	F1-score	Name
[1] 	 P17 	 1411 	 0.6104 	 country
[2] 	 P131 	 609 	 0.4411 	 located in the administrative territorial entity
[3] 	 P27 	 412 	 0.4465 	 country of citizenship
[4] 	 P150 	 293 	 0.5320 	 contains administrative territorial entity
[5] 	 P569 	 191 	 0.9129 	 date of birth
[6] 	 P577 	 169 	 0.5905 	 publication date
[7] 	 P175 	 144 	 0.4774 	 performer
[8] 	 P264 	 138 	 0.4615 	 record label
[9] 	 P570 	 129 	 0.6996 	 date of death
[10] 	 P361 	 104 	 0.1987 	 part of
